"idb.243741.7","CO"
"idb.243789.3","NY"
"idb.243983.7","CA"
"idb.244026.6","NY"
"idb.244124.5","OR"
"idb.24434.35","NE"
"idb.244394.c","CA"
"idb.244424.0","MN"
"idb.245075.1","OH"
"idb.245112.1","MD"
"idb.245196.d","CO"
"idb.245835.d","NC"
"idb.245849.6","MA"
"idb.246210.3","NJ"
"idb.246886.6","DC"
"idb.246916.e","CA"
"idb.247550.1","PA"
"idb.247980.0","CT"
"idb.24805.3b","NM"
"idb.248193.5","AZ"
"idb.248232.d","AZ"
"idb.24827.3b","OH"
"idb.248465.9","MA"
"idb.248592.0","CT"
"idb.248609.1","CT"
"idb.248698.9","CA"
"idb.248717.f","FL"
"idb.248907.0","CA"
"idb.249225.a","HI"
"idb.249317.a","FL"
"idb.249318.5","FL"
"idb.249335.a","PA"
"idb.249430.8","FL"
"idb.249445.a","CT"
"idb.249447.8","NY"
"idb.249482.1","CA"
"idb.249878.8","CA"
"idb.249880.f","ME"
"idb.250008.f","CA"
"idb.250060.1","LA"
"idb.250078.8","MO"
"idb.250107.1","CA"
"idb.250221.6","PA"
"idb.250230.6","ME"
"idb.250263.0","NY"
"idb.250279.b","MA"
"idb.250415.7","NY"
"idb.250491.b","WA"
"idb.250514.7","LA"
"idb.250540.6","NY"
"idb.250671.7","CA"
"idb.250699.1","UT"
"idb.250741.5","CA"
"idb.250747.3","NY"
"idb.250775.2","AL"
"idb.250820.d","MO"
"idb.250889.e","TX"
"idb.250903.d","NY"
"idb.250942.8","AZ"
"idb.250945.f","NY"
"idb.251017.0","MI"
"idb.251030.5","VA"
"idb.251043.1","NY"
"idb.251075.4","PA"
"idb.251079.8","MA"
"idb.251313.7","MS"
"idb.2515.3","MA"
"idb.251612.3","MO"
"idb.251705.4","TX"
"idb.251779.f","CO"
"idb.251789.0","NY"
"idb.251844.e","GA"
"idb.251973.b","AL"
"idb.251976.e","AL"
"idb.251984.3","AK"
"idb.251989.e","NY"
"idb.251990.6","GA"
"idb.251993.5","NY"
"idb.252000.5","MI"
"idb.252003.6","MS"
"idb.252018.c","NY"
"idb.252039.f","PA"
"idb.252042.3","SC"
"idb.252048.9","CA"
"idb.252049.8","MI"
"idb.252152.3","MA"
"idb.252169.b","AL"
"idb.252194.9","IN"
"idb.252222.7","MI"
"idb.252227.2","TX"
"idb.252289.6","OH"
"idb.252292.c","NH"
"idb.252323.7","NC"
"idb.252353.0","PA"
"idb.252363.3","CA"
"idb.252381.f","AR"
"idb.252383.d","AR"
"idb.252390.f","GA"
"idb.252443.6","OH"
"idb.252447.2","GA"
"idb.252535.6","GA"
"idb.252545.1","AL"
"idb.252546.2","AL"
"idb.252549.d","MN"
"idb.252550.5","GA"
"idb.252555.0","SD"
"idb.252563.5","IL"
"idb.252567.1","TN"
"idb.252626.7","MO"
"idb.252657.1","CA"
"idb.252735.4","KS"
"idb.252749.f","OH"
"idb.252754.3","IN"
"idb.252838.6","NY"
"idb.252846.f","NY"
"idb.252853.b","FL"
"idb.252858.0","NY"
"idb.252865.e","WA"
"idb.252873.9","ME"
"idb.252888.d","TX"
"idb.252890.4","TX"
"idb.252934.b","KY"
"idb.252942.a","TN"
"idb.252943.b","WI"
"idb.252944.c","MN"
"idb.252950.9","IL"
"idb.252968.2","MA"
"idb.252972.9","KY"
"idb.252994.1","KS"
"idb.253005.1","MN"
"idb.253006.2","TN"
"idb.253009.d","FL"
"idb.253081.d","NY"
"idb.253109.c","AL"
"idb.253147.6","SD"
"idb.253165.6","PA"
"idb.253205.3","NY"
"idb.253225.1","MA"
"idb.253228.c","MA"
"idb.253245.7","ME"
"idb.253246.4","MD"
"idb.253248.a","OH"
"idb.253259.a","IL"
"idb.253264.4","MA"
"idb.253277.6","GA"
"idb.253291.e","VA"
"idb.253292.d","MA"
"idb.253294.b","UT"
"idb.253295.a","HI"
"idb.253355.7","PA"
"idb.253363.2","PA"
"idb.253378.8","IA"
"idb.253379.9","NY"
"idb.253419.8","IN"
"idb.253482.a","NY"
"idb.253542.7","CA"
"idb.253546.3","CA"
"idb.253547.2","CA"
"idb.253552.6","CA"
"idb.253553.7","CA"
"idb.253554.0","CA"
"idb.253555.1","CA"
"idb.253556.2","CA"
"idb.253557.3","CA"
"idb.253558.c","CA"
"idb.253559.d","CA"
"idb.253561.6","CA"
"idb.253562.5","CA"
"idb.253563.4","CA"
"idb.253564.3","CA"
"idb.253565.2","CA"
"idb.253566.1","CA"
"idb.253567.0","CA"
"idb.253569.e","PA"
"idb.253573.5","MI"
"idb.253592.a","OK"
"idb.253606.4","NC"
"idb.253613.0","MT"
"idb.253615.6","DC"
"idb.253641.7","NY"
"idb.253664.0","OH"
"idb.253679.c","WI"
"idb.253692.9","MN"
"idb.253703.0","PA"
"idb.253718.a","MT"
"idb.253721.0","WI"
"idb.253836.9","MO"
